"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
6,7578.51202958714,45471.0721775228,2781.03388017308,3.13007185388226,"Sic Stats (63)"
13,2963.20869020749,38521.7129726973,737.18870823633,2.32695969380703,"Sic Stats (64)"
1,5491.62049750967,5491.62049750967,5491.62049750967,7.11015348339286,"Sic Stats (65)"
9,6245.33922814751,56208.0530533276,4688.89261356418,0.86219482484429,"Sic Stats (66)"
20,4795.35679355675,95907.135871135,2857.48665500695,4.00458895896096,"Sic Stats (67)"
7,2150.45151948241,15053.1606363768,930.821253020351,3.2723511120811,"Sic Stats (68)"
18,10433.1142939163,187796.057290494,1075.32736764678,3.22521762706304,"Sic Stats (69)"
2,9256.90084208545,18513.8016841709,5807.71749247607,7.36525372378927,"Sic Stats (7)"
7,5805.5881634012,40639.1171438084,1409.06068014227,2.56825099750533,"Sic Stats (70)"
8,1626.85544593954,13014.8435675163,4081.8713990035,1.50254384879924,"Sic Stats (71)"
13,7047.35201893225,91615.5762461193,1497.12294929583,1.31438642488133,"Sic Stats (72)"
11,19875.7671310014,218633.438441015,989.707516299668,2.30992402634892,"Sic Stats (73)"
22,5860.25318220061,128925.570008414,1203.35923355892,1.89089930279243,"Sic Stats (74)"
18,3452.76088982973,62149.6960169351,1379.47470954544,1.26092637181502,"Sic Stats (75)"
13,2949.71870164138,38346.3431213379,2134.4247657189,3.54571703937724,"Sic Stats (76)"
8,4259.97591518953,34079.8073215163,1010.23969387606,1.37360799332416,"Sic Stats (77)"
22,22873.5214729274,503217.472404403,1834.87113501457,1.83372110645221,"Sic Stats (78)"
17,3071.68865107556,52218.7070682845,859.735824070733,1.71448592526107,"Sic Stats (79)"
4,9225.80499721895,36903.2199888758,4507.59637905489,5.35144663850526,"Sic Stats (8)"
7,990.021184135001,6930.148288945,1357.16290776781,1.29826055438131,"Sic Stats (80)"
7,1268.57585941829,8880.03101592805,1475.55866494285,3.20050883112113,"Sic Stats (81)"
8,2242.01765496744,17936.1412397395,1094.11976678384,1.25962041242589,"Sic Stats (82)"
3,1531.867468205,4595.60240461501,1376.59122308781,2.98226776055613,"Sic Stats (83)"
3,1181.84576151903,3545.5372845571,1368.80710592008,3.46763252353799,"Sic Stats (84)"
7,6104.17556519123,42729.2289563386,1015.05199515775,1.99141211586623,"Sic Stats (85)"
2,3236.45961515815,6472.9192303163,3365.91176359565,6.48460485765125,"Sic Stats (86)"
14,4572.88313919174,64020.3639486844,2304.38359259576,2.45885158507517,"Sic Stats (87)"
7,10949.4381175773,76646.0668230412,7950.63513906169,4.60013215590046,"Sic Stats (88)"
17,5701.30390937048,96922.1664592982,683.877162328891,2.0995528020941,"Sic Stats (89)"
10,2930.63006652644,29306.3006652644,3544.28336242488,2.46172480085519,"Sic Stats (9)"
11,4937.95986530609,54317.558518367,1907.78921100922,3.33984929682295,"Sic Stats (90)"
12,3333.13856497531,39997.6627797037,917.950261345756,1.36751834513782,"Sic Stats (91)"
2,8434.76238933996,16869.5247786799,5788.39617840246,4.27864573254578,"Sic Stats (92)"
2,20912.5423018767,41825.0846037534,35105.8196456267,1.75080292739344,"Sic Stats (93)"
4,4031.68062906157,16126.7225162463,2797.0724747647,2.98039763410081,"Sic Stats (94)"
5,3379.69924903704,16898.4962451852,3775.18357520891,1.8825016465118,"Sic Stats (95)"
10,3108.19039399624,31081.9039399624,919.462378859517,1.7430154930089,"Sic Stats (96)"
23,18496.9905044822,425430.781603092,2248.08944512423,1.42862448697425,"Sic Stats (97)"
6,15994.466720385,95966.8003223102,5888.41764811941,1.67672704058704,"Sic Stats (98)"
26,3834.14188339427,99687.688968251,1768.69890901026,2.08653544230153,"Sic Stats (99)"
